code;description_eng;description_fr
1708;Loop on the cable;Noeud sur le câble.
1709;Damaged seal;Joint détérioré.
1710;Damaged terminal;Connexions déformées.
1711;Missing seal;Joint manquant.
1712;Missing stripping;Dénudage absent.
1713;Missing taping;Enrubannage manquant.
1714;Missing tube on harness;Gaine manquante sur faisceau.
1715;Problem of connection;Problème de connexion / Continuité faisceau non assurée.
1716;Seal out of position;Position joint non-conforme.
1717;Secondary lock of housing damaged;Verrouillage secondaire sur boîtier non-conforme.
1718;Terminal out of wire;Fil arraché de la connexion.
1719;Wire inserted in wrong connector cavity;Fil inseré dans une mauvaise cavité du connecteur / Inversion fils
1720;Wrong crimping;Mauvais Sertissage
1721;Incorrect length of branches;Longueur branche non-conforme.
